"","no","G_ID","GDAY_DS","T_ID","WLS","P1","P2","P3","P4","D1","D2","D3","B1","B2","B3","B4","C1","C2","C3","C4","S1","S2","W","WS","WC","YEAR","p1","p2","p3","p4","d1","d2","d3","b1","b2","b3","b4","c1","c2","c3","c4","s1","s2"
"1791",63,"20170614KTSS0",20170614,"KT","W",0.371428571,5,0.228571429,0.111111111,0,0,2,0.277777778,3,0.3,0.388888889,0,0.166666667,0.384615385,7,1,1,"WIN",3,2675,2017,0.460703251034985,0.202020202020202,0.457142858,0.0808080807272727,0,0,0.5,0.417907082351404,0.214285714285714,0.429290618218894,0.274944482868211,0,0.342105263968144,0.384615385,0.388888888888889,0.2,1
"1792",64,"20170615KTSS0",20170615,"KT","L",0.333333333,6.75,0.233333333,0.75,0,1,2,0.25,3,0.272727273,0.5,0,0.0625,0.125,6,0,0,"LOSE",0,2675,2017,0.402677651665247,0.272727272727273,0.466666666,0.545454545454545,0,0.25,0.5,0.36231393804756,0.214285714285714,0.378614521376913,0.370434183304375,0,0.128289473731475,0.125,0.333333333333333,0,0
"1793",65,"20170616HHKT0",20170616,"KT","L",0.682926829,15,0.097560976,0.444444444,1,2,0,0.391304348,3,0.404255319,0.826086957,2,0.304347826,0.5,8,1,0.5,"LOSE",0,2675,2017,0.935168671701982,0.606060606060606,0.195121952,0.323232322909091,0.5,0.5,0,0.645113844113648,0.214285714285714,0.623009883693728,0.650675696145248,0.285714285714286,0.624713958861737,0.5,0.444444444444444,0.2,0.5
"1794",66,"20170617HHKT0",20170617,"KT","L",0.473684211,9,0.315789474,0.222222222,0,0,3,0.193548387,0,0.193548387,0.387096774,1,0.032258065,0,3,0,0.597736626,"LOSE",0,2675,2017,0.616456177422692,0.363636363636364,0.631578948,0.161616161454545,0,0,0.75,0.249334322914421,0,0.23149036709721,0.273404326146196,0.142857142857143,0.0662139229191314,0,0.166666666666667,0,0.597736626
"1795",67,"20170618HHKT0",20170618,"KT","L",0.674418605,13,0.162790698,0.111111111,0,2,0,0.289473684,1,0.307692308,0.5,1,0.131578947,0.333333333,7,2,1,"LOSE",0,2675,2017,0.922209183243818,0.525252525252525,0.325581396,0.0808080807272727,0,0.5,0,0.441314721004943,0.0714285714285714,0.443583877017193,0.370434183304375,0.142857142857143,0.270083101836346,0.333333333,0.388888888888889,0.4,1
"1796",68,"20170620LTKT0",20170620,"KT","L",0.512195122,10,0.146341463,0.333333333,0,1,0,0.294117647,0,0.285714286,0.470588235,0,0.058823529,0.142857143,6,2,0.666666667,"LOSE",0,2675,2017,0.675114918261892,0.404040404040404,0.292682926,0.242424242181818,0,0.25,0,0.450608931117814,0,0.402745996329017,0.345157497616758,0,0.120743033255011,0.142857143,0.333333333333333,0.4,0.666666667
"1797",69,"20170621LTKT0",20170621,"KT","L",0.380952381,10,0.19047619,0.444444444,1,0,0,0.21875,3,0.277777778,0.46875,1,0.125,0.666666667,5,0,0,"LOSE",0,2675,2017,0.475209651639006,0.404040404040404,0.38095238,0.323232322909091,0.5,0,0,0.299771651206073,0.214285714285714,0.387998983755057,0.343577705029847,0.142857142857143,0.25657894746295,0.666666667,0.277777777777778,0,0
"1798",70,"20170622LTKT0",20170622,"KT","W",0.382352941,3,0.264705882,0.333333333,1,1,2,0.454545455,4,0.5,0.878787879,1,0.303030303,0.416666667,8,1,0.5,"WIN",3,2678,2017,0.477342945397487,0.121212121212121,0.529411764,0.242424242181818,0.5,0.25,0.5,0.771681634646997,0.285714285714286,0.800915332109672,0.695967253480946,0.142857142857143,0.622009569544951,0.416666667,0.444444444444444,0.2,0.5
"1799",71,"20170623KTSK0",20170623,"KT","L",0.275862069,4.5,0.24137931,0.625,0,1,0,0.1875,4,0.25,0.375,0,0.0625,0,8,2,1,"LOSE",0,2678,2017,0.315139032267818,0.181818181818182,0.48275862,0.454545454545455,0,0.25,0,0.237229364364587,0.285714285714286,0.3363844397462,0.263008270206264,0,0.128289473731475,0,0.444444444444444,0.4,1
"1800",72,"20170624KTSK0",20170624,"KT","L",0.310344828,2.25,0.206896552,1,0,0,2,0.161290323,3,0.235294118,0.161290323,0,0.032258065,0.166666667,5,0,0.597736626,"LOSE",0,2678,2017,0.367662204820179,0.0909090909090909,0.413793104,0.727272727272727,0,0,0.5,0.184774543981972,0.214285714285714,0.309059093792392,0.079344612689247,0,0.0662139229191314,0.166666667,0.277777777777778,0,0.597736626
"1801",73,"20170625KTSK0",20170625,"KT","L",0.46875,7.875,0.1875,0.25,0,0,0,0.314285714,4,0.384615385,0.657142857,2,0.171428571,0.111111111,7,0,0,"LOSE",0,2678,2017,0.608940525448245,0.318181818181818,0.375,0.181818181818182,0,0,0,0.490972356121089,0.285714285714286,0.586516459425809,0.50548390250494,0.285714285714286,0.351879698498061,0.111111111,0.388888888888889,0,0
"1802",74,"20170627KTHH0",20170627,"KT","L",0.375,4.5,0.3125,0.25,0,1,0,0.225806452,5,0.294117647,0.290322581,0,0.032258065,0.111111111,8,1,0.25,"LOSE",0,2678,2017,0.466143151642286,0.181818181818182,0.625,0.181818181818182,0,0.25,0,0.313894103848223,0.357142857142857,0.418360479465746,0.190235877767334,0,0.0662139229191314,0.111111111,0.444444444444444,0.2,0.25
"1803",75,"20170628KTHH0",20170628,"KT","W",0.35,3.6,0.2,0.3,0,1,0,0.25,3,0.302325581,0.55,2,0.1,0,8,0,0.597736626,"WIN",3,2681,2017,0.428063851960697,0.145454545454545,0.4,0.218181818181818,0,0.25,0,0.36231393804756,0.214285714285714,0.433611835087668,0.413404548543619,0.285714285714286,0.20526315797036,0,0.444444444444444,0,0.597736626
"1804",76,"20170629KTHH0",20170629,"KT","L",0.448275862,9,0.172413793,0.625,0,2,0,0.264705882,1,0.285714286,0.441176471,1,0.117647059,0.25,4,0,0.597736626,"LOSE",0,2681,2017,0.577754891983276,0.363636363636364,0.344827586,0.454545454545455,0,0.5,0,0.391745601737194,0.0714285714285714,0.402745996329017,0.319880812788549,0.142857142857143,0.241486068562653,0.25,0.222222222222222,0,0.597736626
"1805",77,"20170630WOKT0",20170630,"KT","L",0.5,9,0.166666667,0.111111111,0,0,1,0.394736842,1,0.390243902,0.657894737,0,0.131578947,0.272727273,9,0,0.597736626,"LOSE",0,2681,2017,0.656539650050231,0.363636363636364,0.333333334,0.0808080807272727,0,0,0.25,0.651983476892198,0.0714285714285714,0.596974939524581,0.506130073669262,0,0.270083101836346,0.272727273,0.5,0,0.597736626
"1806",78,"20170702WOKT0",20170702,"KT","L",0.444444444,7.5,0.222222222,0.5,0,0,1,0.176470588,1,0.222222222,0.294117647,0,0.058823529,0,3,0,0.597736626,"LOSE",0,2681,2017,0.571918983414179,0.303030303030303,0.444444444,0.363636363636364,0,0,0.25,0.215155615596685,0.0714285714285714,0.284769895737342,0.193497385209875,0,0.120743033255011,0,0.166666666666667,0,0.597736626
"1807",79,"20170704KTOB0",20170704,"KT","L",0.444444444,9,0.194444444,0,0,0,0,0.181818182,1,0.205882353,0.242424242,0,0.03030303,0.166666667,6,0,0.597736626,"LOSE",0,2681,2017,0.571918983414179,0.363636363636364,0.388888888,0,0,0,0,0.225858039848199,0.0714285714285714,0.254408400026653,0.149071695343672,0,0.0622009563387056,0.166666667,0.333333333333333,0,0.597736626
"1808",80,"20170705KTOB0",20170705,"KT","L",0.366666667,3.375,0.2,0.375,0,1,0,0.148148148,4,0.225806452,0.296296296,0,0.037037037,0,5,0,0.597736626,"LOSE",0,2681,2017,0.453450052256147,0.136363636363636,0.4,0.272727272727273,0,0.25,0,0.158472410267699,0.285714285714286,0.291429837978686,0.195369732075037,0,0.0760233917648507,0,0.277777777777778,0,0.597736626
"1809",81,"20170708HTKT0",20170708,"KT","L",0.638297872,20,0.170212766,0.888888889,0,0,0,0.358974359,1,0.358974359,0.564102564,1,0.205128205,0.416666667,5,0,0.597736626,"LOSE",0,2681,2017,0.867191094578792,0.808080808080808,0.340425532,0.646464646545455,0,0,0,0.580410117853805,0.0714285714285714,0.538872264670229,0.425524395061415,0.142857142857143,0.421052631470914,0.416666667,0.277777777777778,0,0.597736626
"1810",82,"20170711SSKT0",20170711,"KT","L",0.35483871,4,0.193548387,0.555555556,0,2,0,0.277777778,4,0.35,0.388888889,0,0.055555556,0.214285714,12,4,1,"LOSE",0,2681,2017,0.435434039487189,0.161616161616162,0.387096774,0.404040404363636,0,0.5,0,0.417907082351404,0.285714285714286,0.522196796691589,0.274944482868211,0,0.114035088673592,0.214285714,0.666666666666667,0.8,1
"1811",83,"20170712SSKT0",20170712,"KT","L",0.540540541,11,0.216216216,0.333333333,0,3,0,0.272727273,0,0.272727273,0.454545455,1,0.060606061,0.25,3,0,0.597736626,"LOSE",0,2681,2017,0.718289866449941,0.444444444444444,0.432432432,0.242424242181818,0,0.75,0,0.407799238114465,0,0.378614521376913,0.331370215295701,0.142857142857143,0.124401914730043,0.25,0.166666666666667,0,0.597736626
"1812",84,"20170713SSKT0",20170713,"KT","W",0.4,8,0.15,0.666666667,0,0,3,0.363636364,8,0.476190476,0.727272727,2,0.272727273,0.428571429,7,1,0.5,"WIN",3,2684,2017,0.504222451323875,0.323232323232323,0.3,0.484848485090909,0,0,0.75,0.589740436380731,0.571428571428571,0.756674294387794,0.565754025066555,0.285714285714286,0.559808613206245,0.428571429,0.388888888888889,0.2,0.5
"1813",85,"20170718KTLG0",20170718,"KT","L",0.387096774,3.375,0.096774194,0.125,0,0,0,0.1875,2,0.212121212,0.25,0,0.03125,0.142857143,6,0,0.597736626,"LOSE",0,2684,2017,0.484568618935344,0.136363636363636,0.193548388,0.0909090909090909,0,0,0,0.237229364364587,0.142857142857143,0.266000970981052,0.155582357108154,0,0.0641447368657375,0.142857143,0.333333333333333,0,0.597736626
"1814",86,"20170719KTLG0",20170719,"KT","L",0.28125,4.5,0.09375,0.125,1,0,0,0.193548387,3,0.242424242,0.387096774,1,0.064516129,0.2,5,0,0.597736626,"LOSE",0,2684,2017,0.323345777836327,0.181818181818182,0.1875,0.0909090909090909,0.5,0,0,0.249334322914421,0.214285714285714,0.322307745249921,0.273404326146196,0.142857142857143,0.132427843785631,0.2,0.277777777777778,0,0.597736626
"1815",87,"20170720KTLG0",20170720,"KT","L",0.512820513,11.25,0.128205128,0.5,0,0,1,0.277777778,9,0.380952381,0.444444444,0,0.25,0.1875,9,2,1,"LOSE",0,2684,2017,0.676067496314179,0.454545454545455,0.256410256,0.363636363636364,0,0,0.25,0.417907082351404,0.642857142857143,0.579710145358405,0.322689332656589,0,0.5131578949259,0.1875,0.5,0.4,1
"1816",88,"20170721KTWO0",20170721,"KT","L",0.333333333,2.25,0.1,0.625,0,1,0,0.228571429,1,0.25,0.228571429,0,0,0,9,2,1,"LOSE",0,2684,2017,0.402677651665247,0.0909090909090909,0.2,0.454545454545455,0,0.25,0,0.319427799356835,0.0714285714285714,0.3363844397462,0.137166486659653,0,0,0,0.5,0.4,1
"1817",89,"20170722KTWO0",20170722,"KT","W",0.212121212,3,0.212121212,0.666666667,0,0,1,0.3125,8,0.421052632,0.625,1,0.25,0.416666667,6,0,0,"WIN",3,2687,2017,0.218050744441246,0.121212121212121,0.424242424,0.484848485090909,0,0,0.25,0.487398511730533,0.571428571428571,0.654221366882522,0.477860096402485,0.142857142857143,0.5131578949259,0.416666667,0.333333333333333,0,0
"1818",90,"20170723KTWO0",20170723,"KT","L",0.375,7.875,0.3125,0.5,0,0,0,0.235294118,1,0.257142857,0.470588235,1,0.117647059,0.5,6,3,1,"LOSE",0,2687,2017,0.466143151642286,0.318181818181818,0.625,0.363636363636364,0,0,0,0.332882274357926,0.0714285714285714,0.349656750691138,0.345157497616758,0.142857142857143,0.241486068562653,0.5,0.333333333333333,0.6,1
"1819",91,"20170725OBKT0",20170725,"KT","L",0.476190476,6,0.142857143,0.333333333,0,0,1,0.205882353,6,0.325,0.441176471,0,0.147058824,0.25,7,0,0.597736626,"LOSE",0,2687,2017,0.620273650063351,0.242424242424242,0.285714286,0.242424242181818,0,0,0.25,0.274018944977305,0.428571428571429,0.475743707455241,0.319880812788549,0,0.301857586216474,0.25,0.388888888888889,0,0.597736626
"1820",92,"20170726OBKT0",20170726,"KT","L",0.447368421,7,0.157894737,0.333333333,0,0,2,0.285714286,4,0.342105263,0.628571429,1,0.085714286,0.285714286,9,1,0.5,"LOSE",0,2687,2017,0.576372703271982,0.282828282828283,0.315789474,0.242424242181818,0,0,0.5,0.433790837866788,0.285714285714286,0.507527399797249,0.480929408573605,0.142857142857143,0.175939850275346,0.285714286,0.5,0.2,0.5
"1821",93,"20170727OBKT0",20170727,"KT","L",0.375,5,0.15625,0.555555556,0,2,0,0.21875,7,0.358974359,0.40625,1,0.09375,0.1,10,0,0.597736626,"LOSE",0,2687,2017,0.466143151642286,0.202020202020202,0.3125,0.404040404363636,0,0.5,0,0.299771651206073,0.5,0.538872264670229,0.289864748480792,0.142857142857143,0.192434210597213,0.1,0.555555555555556,0,0.597736626
"1822",94,"20170728NCKT0",20170728,"KT","L",0.324324324,4.5,0.162162162,0.6,0,0,1,0.235294118,8,0.372093023,0.470588235,0,0.117647059,0.090909091,9,0,0,"LOSE",0,2687,2017,0.388955381523442,0.181818181818182,0.324324324,0.436363636363636,0,0,0.25,0.332882274357926,0.571428571428571,0.563248363448376,0.345157497616758,0,0.241486068562653,0.090909091,0.5,0,0
"1823",95,"20170729NCKT0",20170729,"KT","W",0.28125,3,0.1875,0.333333333,0,2,0,0.290322581,3,0.342857143,0.419354839,0,0.129032258,0.214285714,9,0,0.597736626,"WIN",3,2690,2017,0.323345777836327,0.121212121212121,0.375,0.242424242181818,0,0.5,0,0.443013663714475,0.214285714285714,0.50892448574665,0.301127142845422,0,0.264855687571263,0.214285714,0.5,0,0.597736626
"1824",96,"20170730NCKT0",20170730,"KT","L",0.447368421,8,0.105263158,0.111111111,0,0,0,0.272727273,3,0.314285714,0.575757576,1,0.090909091,0.166666667,8,0,0,"LOSE",0,2690,2017,0.576372703271982,0.323232323232323,0.210526316,0.0808080807272727,0,0,0,0.407799238114465,0.214285714285714,0.455835240108772,0.43554079751157,0.142857142857143,0.186602871068748,0.166666667,0.444444444444444,0,0
"1825",97,"20170801KTHT0",20170801,"KT","W",0.461538462,7,0.128205128,0.111111111,0,1,0,0.452380952,7,0.479166667,0.69047619,1,0.357142857,0.611111111,9,0,0.597736626,"WIN",3,2693,2017,0.597956112781558,0.282828282828283,0.256410256,0.0808080807272727,0,0.25,0,0.767349699687149,0.5,0.762204425032091,0.534130812377968,0.142857142857143,0.733082706743767,0.611111111,0.5,0,0.597736626
"1826",98,"20170803KTHT0",20170803,"KT","L",0.542857143,10.125,0.085714286,0.625,0,0,1,0.305555556,4,0.375,0.527777778,1,0.083333333,0,10,0,0.597736626,"LOSE",0,2693,2017,0.721818449721979,0.409090909090909,0.171428572,0.454545454545455,0,0,0.25,0.473500226655249,0.285714285714286,0.568649885927936,0.394306608628267,0.142857142857143,0.171052630957756,0,0.555555555555556,0,0.597736626
"1827",99,"20170804SKKT0",20170804,"KT","L",0.421052632,6,0.131578947,0.222222222,0,2,0,0.323529412,5,0.384615385,0.529411765,1,0.147058824,0.25,10,0,0.597736626,"LOSE",0,2693,2017,0.536289230644443,0.242424242424242,0.263157894,0.161616161454545,0,0.5,0,0.509472260498435,0.357142857142857,0.586516459425809,0.395710868991991,0.142857142857143,0.301857586216474,0.25,0.555555555555556,0,0.597736626
"1828",100,"20170805SKKT0",20170805,"KT","W",0.371428571,3,0.142857143,0.333333333,0,0,3,0.258064516,3,0.28125,0.516129032,1,0.129032258,0.333333333,7,3,1,"WIN",3,2696,2017,0.460703251034985,0.121212121212121,0.285714286,0.242424242181818,0,0,0.75,0.378453882780672,0.214285714285714,0.394450801291634,0.384295591224284,0.142857142857143,0.264855687571263,0.333333333,0.388888888888889,0.6,1
"1829",101,"20170806SKKT0",20170806,"KT","W",0.333333333,3,0.333333333,0,0,1,1,0.3,5,0.382352941,0.633333333,1,0.2,0.285714286,5,2,0.5,"WIN",3,2699,2017,0.402677651665247,0.121212121212121,0.666666666,0,0,0.25,0.25,0.462381596993939,0.357142857142857,0.58231255890484,0.48502182365589,0.142857142857143,0.41052631594072,0.285714286,0.277777777777778,0.4,0.5
"1830",102,"20170808KTLT0",20170808,"KT","L",0.366666667,5.625,0.166666667,0.25,0,2,0,0.324324324,3,0.375,0.702702703,2,0.108108108,0.090909091,9,0,0,"LOSE",0,2699,2017,0.453450052256147,0.227272727272727,0.333333334,0.181818181818182,0,0.5,0,0.511063160156603,0.214285714285714,0.568649885927936,0.544638366962215,0.285714285714286,0.221906116502808,0.090909091,0.5,0,0
"1831",103,"20170809KTLT0",20170809,"KT","L",0.428571429,7.875,0.285714286,0.5,1,1,1,0.294117647,3,0.324324324,0.676470588,1,0.176470588,0.444444444,6,4,1,"LOSE",0,2699,2017,0.547741651612764,0.318181818181818,0.571428572,0.363636363636364,0.5,0.25,0.25,0.450608931117814,0.214285714285714,0.474488217954327,0.522094295711258,0.142857142857143,0.362229101817663,0.444444444,0.333333333333333,0.8,1
"1832",104,"20170811HTKT0",20170811,"KT","W",0.485714286,8,0.228571429,0.666666667,1,1,0,0.351351351,4,0.414634146,0.783783784,3,0.243243243,0.428571429,8,0,0.597736626,"WIN",3,2702,2017,0.634780050667372,0.323232323232323,0.457142858,0.484848485090909,0.5,0.25,0,0.565153786560014,0.285714285714286,0.642295026765712,0.614320040253469,0.428571428571429,0.499288762131317,0.428571429,0.444444444444444,0,0.597736626
"1833",105,"20170812KTSK0",20170812,"KT","L",0.527777778,9,0.083333333,0.5,0,0,1,0.242424242,6,0.358974359,0.484848485,1,0.090909091,0.222222222,8,0,0.597736626,"LOSE",0,2702,2017,0.698849983368257,0.363636363636364,0.166666666,0.363636363636364,0,0,0.25,0.347152170691474,0.428571428571429,0.538872264670229,0.357412860634817,0.142857142857143,0.186602871068748,0.222222222,0.444444444444444,0,0.597736626
"1834",106,"20170813KTSK0",20170813,"KT","W",0.314285714,3,0.342857143,0.111111111,0,0,0,0.463414634,5,0.511111111,1.097560976,4,0.243902439,0.357142857,8,1,0.5,"WIN",3,2705,2017,0.373664851980378,0.121212121212121,0.685714286,0.0808080807272727,0,0,0,0.789431994233125,0.357142857142857,0.821561149341591,0.883982451133157,0.571428571428571,0.500641848658131,0.357142857,0.444444444444444,0.2,0.5
"1835",107,"20170816KTLG0",20170816,"KT","L",0.242424242,1.928571429,0.060606061,0.428571429,0,0,0,0.194444444,1,0.189189189,0.388888889,0,0.027777778,0,7,0,0.597736626,"LOSE",0,2705,2017,0.264207470866453,0.0779220779393939,0.121212122,0.311688312,0,0,0,0.251127649439871,0.0714285714285714,0.223390438549494,0.274944482868211,0,0.0570175443367959,0,0.388888888888889,0,0.597736626
"1836",108,"20170817SSKT0",20170817,"KT","L",0.382352941,6,0.205882353,0.444444444,0,2,1,0.242424242,1,0.242424242,0.484848485,2,0.121212121,0.333333333,4,0,0.597736626,"LOSE",0,2705,2017,0.477342945397487,0.242424242424242,0.411764706,0.323232322909091,0,0.5,0.25,0.347152170691474,0.0714285714285714,0.322307745249921,0.357412860634817,0.285714285714286,0.248803827407454,0.333333333,0.222222222222222,0,0.597736626
"1837",109,"20170818SSKT0",20170818,"KT","L",0.323529412,4.5,0.147058824,0.4,0,2,1,0.09375,1,0.09375,0.28125,1,0.03125,0,2,0,0.597736626,"LOSE",0,2705,2017,0.387744593832702,0.181818181818182,0.294117648,0.290909090909091,0,0.5,0.25,0.0496025038401264,0.0714285714285714,0.0460526320190293,0.182438835382682,0.142857142857143,0.0641447368657375,0,0.111111111111111,0,0.597736626
"1838",110,"20170819OBKT0",20170819,"KT","L",0.55,10,0.025,0.888888889,0,2,0,0.25,2,0.289473684,0.416666667,1,0.111111111,0.25,7,0,0.597736626,"LOSE",0,2705,2017,0.732698249413409,0.404040404040404,0.05,0.646464646545455,0,0.5,0,0.36231393804756,0.142857142857143,0.409731422359775,0.298816908192104,0.142857142857143,0.228070175294552,0.25,0.388888888888889,0,0.597736626
"1839",111,"20170820OBKT0",20170820,"KT","W",0.285714286,1.6875,0.285714286,0.1875,0,0,0,0.263157895,0,0.263157895,0.578947368,1,0.105263158,0,3,0,0.597736626,"WIN",3,2708,2017,0.33014565321466,0.0681818181818182,0.571428572,0.136363636363636,0,0,0,0.388647533033805,0,0.360833434570099,0.438282128057115,0.142857142857143,0.21606648229013,0,0.166666666666667,0,0.597736626
"1840",112,"20170822HHKT0",20170822,"KT","L",0.272727273,3,0.181818182,0.222222222,0,0,0,0.21875,3,0.285714286,0.40625,1,0.0625,0,7,2,1,"LOSE",0,2708,2017,0.310364198814832,0.121212121212121,0.363636364,0.161616161454545,0,0,0,0.299771651206073,0.214285714285714,0.402745996329017,0.289864748480792,0.142857142857143,0.128289473731475,0,0.388888888888889,0.4,1
"1841",113,"20170823HHKT0",20170823,"KT","L",0.365853659,8.181818182,0.268292683,0.636363636,1,0,0,0.408163265,4,0.442307692,0.571428571,0,0.183673469,0.421052632,11,0,0,"LOSE",0,2708,2017,0.452211701245126,0.33057851240404,0.536585366,0.462809917090909,0.5,0,0,0.678854491244874,0.285714285714286,0.693715894838679,0.43182041899212,0,0.37701396282311,0.421052632,0.611111111111111,0,0
"1842",114,"20170824KTNC0",20170824,"KT","L",0.424242424,7.875,0.242424242,0,0,2,0,0.125,3,0.2,0.1875,0,0.03125,0,7,1,0.5,"LOSE",0,2708,2017,0.541147832464041,0.318181818181818,0.484848484,0,0,0.5,0,0.112144790681613,0.214285714285714,0.243478261273505,0.101869400559099,0,0.0641447368657375,0,0.388888888888889,0.2,0.5
"1843",115,"20170825KTNC0",20170825,"KT","L",0.352941176,7.875,0.205882353,0.25,0,0,0,0.361111111,8,0.441860465,0.527777778,0,0.138888889,0.214285714,12,1,1,"LOSE",0,2708,2017,0.432543768853509,0.318181818181818,0.411764706,0.181818181818182,0,0,0,0.584686513261584,0.571428571428571,0.692884891809083,0.394306608628267,0,0.285087719631348,0.214285714,0.666666666666667,0.2,1
"1844",116,"20170826KTSS0",20170826,"KT","L",0.538461538,15.75,0.128205128,0.5,0,1,2,0.368421053,3,0.414634146,0.894736842,3,0.210526316,0.285714286,6,1,1,"LOSE",0,2708,2017,0.715123187318903,0.636363636363636,0.256410256,0.363636363636364,0,0.25,0.5,0.599316288921061,0.214285714285714,0.642295026765712,0.70967390878689,0.428571428571429,0.432132964580259,0.285714286,0.333333333333333,0.2,1
"1845",117,"20170827KTSS0",20170827,"KT","W",0.161290323,2,0.258064516,0.111111111,0,0,0,0.25,5,0.351351351,0.5625,2,0.09375,0.142857143,8,1,0.5,"WIN",3,2711,2017,0.140626558228743,0.0808080808080808,0.516129032,0.0808080807272727,0,0,0,0.36231393804756,0.357142857142857,0.524707773835294,0.42414713985343,0.285714285714286,0.192434210597213,0.142857143,0.444444444444444,0.2,0.5
"1846",118,"20170829NCKT0",20170829,"KT","L",0.591836735,13,0.12244898,0.222222222,0,1,0,0.25,4,0.333333333,0.3125,0,0.0625,0.5,7,0,0,"LOSE",0,2711,2017,0.796422792203977,0.525252525252525,0.24489796,0.161616161454545,0,0.25,0,0.36231393804756,0.285714285714286,0.491228069914649,0.209295313657209,0,0.128289473731475,0.5,0.388888888888889,0,0
"1847",119,"20170830NCKT0",20170830,"KT","W",0.41025641,5,0.128205128,0,0,0,0,0.323529412,5,0.351351351,0.735294118,2,0.264705882,0.5,7,1,1,"WIN",3,2714,2017,0.519844727725765,0.202020202020202,0.256410256,0,0,0,0,0.509472260498435,0.357142857142857,0.524707773835294,0.57264766708649,0.285714285714286,0.543343652726495,0.5,0.388888888888889,0.2,1
"1848",120,"20170831KTHH0",20170831,"KT","L",0.552631579,11.25,0.105263158,0.5,0,0,1,0.137931034,3,0.21875,0.137931034,0,0.034482759,0.333333333,5,0,0,"LOSE",0,2714,2017,0.73670659682848,0.454545454545455,0.210526316,0.363636363636364,0,0,0.25,0.138024356684334,0.214285714285714,0.278318078200766,0.0592694690880659,0,0.0707804000787086,0.333333333,0.277777777777778,0,0
"1849",121,"20170901KTHH0",20170901,"KT","W",0.2,1,0.4,0.111111111,0,0,0,0.285714286,4,0.358974359,0.628571429,2,0.171428571,0.25,6,1,0.333333333,"WIN",3,2717,2017,0.199588053871163,0.0404040404040404,0.8,0.0808080807272727,0,0,0,0.433790837866788,0.285714285714286,0.538872264670229,0.480929408573605,0.285714285714286,0.351879698498061,0.25,0.333333333333333,0.2,0.333333333
"1850",122,"20170902SKKT0",20170902,"KT","L",0.627906977,15,0.23255814,0.111111111,0,0,1,0.27027027,3,0.325,0.594594595,1,0.189189189,0.428571429,6,0,0.597736626,"LOSE",0,2717,2017,0.851363974392195,0.606060606060606,0.46511628,0.0808080807272727,0,0,0.25,0.40288190734978,0.214285714285714,0.475743707455241,0.451729469240542,0.142857142857143,0.388335703879913,0.428571429,0.333333333333333,0,0.597736626
"1851",123,"20170903SKKT0",20170903,"KT","W",0.487179487,5,0.230769231,0,0,1,1,0.5,1,0.5,0.785714286,2,0.30952381,0.533333333,9,0,0.597736626,"WIN",3,2720,2017,0.637011803786282,0.202020202020202,0.461538462,0,0,0.25,0.25,0.862652232779454,0.0714285714285714,0.800915332109672,0.615979127774171,0.285714285714286,0.635338347076177,0.533333333,0.5,0,0.597736626
"1852",124,"20170905WOKT0",20170905,"KT","W",0.21875,1,0.375,0.222222222,0,0,1,0.242424242,1,0.264705882,0.666666667,2,0.151515152,0.4,5,0,0.597736626,"WIN",3,2723,2017,0.228147528632355,0.0404040404040404,0.75,0.161616161454545,0,0,0.25,0.347152170691474,0.0714285714285714,0.363709785700007,0.513668734388324,0.285714285714286,0.311004785798791,0.4,0.277777777777778,0,0.597736626
"1853",125,"20170906WOKT0",20170906,"KT","W",0.303030303,4,0.303030303,0.111111111,0,2,0,0.303030303,1,0.314285714,0.666666667,2,0.121212121,0.285714286,6,1,1,"WIN",3,2726,2017,0.35652092524004,0.161616161616162,0.606060606,0.0808080807272727,0,0.5,0,0.468446303536102,0.0714285714285714,0.455835240108772,0.513668734388324,0.285714285714286,0.248803827407454,0.285714286,0.333333333333333,0.2,1
"1854",126,"20170907KTOB0",20170907,"KT","W",0.233333333,2.7,0.233333333,1,0,2,0,0.292682927,2,0.325581395,0.634146341,3,0.170731707,0.5,6,0,0.597736626,"WIN",3,2729,2017,0.250360452938891,0.109090909090909,0.466666666,0.727272727272727,0,0.5,0,0.447737549684944,0.142857142857143,0.476824011207904,0.485720528669938,0.428571428571429,0.350449293444902,0.5,0.333333333333333,0,0.597736626
"1855",127,"20170908KTOB0",20170908,"KT","L",0.24137931,3.375,0.24137931,0.75,0,0,0,0.172413793,4,0.25,0.379310345,1,0.068965517,0.333333333,4,0,0,"LOSE",0,2729,2017,0.262615859715458,0.136363636363636,0.48275862,0.545454545454545,0,0,0,0.207036536027177,0.285714285714286,0.3363844397462,0.266712612185407,0.142857142857143,0.141560798104786,0.333333333,0.222222222222222,0,0
"1856",128,"20170909LTKT0",20170909,"KT","W",0.34375,2,0.15625,0.333333333,0,2,0,0.290322581,1,0.303030303,0.419354839,1,0.064516129,0,8,2,1,"WIN",3,2732,2017,0.4185440270403,0.0808080808080808,0.3125,0.242424242181818,0,0.5,0,0.443013663714475,0.0714285714285714,0.434921295645781,0.301127142845422,0.142857142857143,0.132427843785631,0,0.444444444444444,0.4,1
"1857",129,"20170910LTKT0",20170910,"KT","L",0.512820513,7,0.153846154,0.222222222,0,1,3,0.193548387,6,0.297297297,0.322580645,1,0.161290323,0.285714286,6,1,1,"LOSE",0,2732,2017,0.676067496314179,0.282828282828283,0.307692308,0.161616161454545,0,0.25,0.75,0.249334322914421,0.428571428571429,0.42426866207336,0.217958693607153,0.142857142857143,0.331069610490394,0.285714286,0.333333333333333,0.2,1
