,no,G_ID,GDAY_DS,T_ID,WLS,P1,P2,P3,P4,D1,D2,D3,B1,B2,B3,B4,C1,C2,C3,C4,S1,S2,W,WS,WC,YEAR,p1,p2,p3,p4,d1,d2,d3,b1,b2,b3,b4,c1,c2,c3,c4,s1,s2,P,D,B,C,S
1285,133,20160921LTSS0,20160921,SS,L,0.5,10,0.105263158,0.333333333,0,1,1,0.314285714,5,0.380952381,0.742857143,1,0.228571429,0.307692308,6,0,0.665079365,LOSE,0,1903,2016,0.675,0.467836257,0.195488722,0.229629629,0,0.25,0.25,0.606122448,0.3125,0.599521817,0.626785715,0.166666667,0.510924371,0.307692308,0.25,0,0.665079365,0.455755709,0.666666667,0.446875435,0.433820836,0.332539683
1286,134,20160923OBSS0,20160923,SS,W,0.41025641,3,0.179487179,0.555555556,0,1,0,0.28125,3,0.314285714,0.53125,1,0.125,0.25,8,0,0.665079365,WIN,3,1906,2016,0.553846153,0.140350877,0.333333333,0.38271605,0,0.25,0,0.542410714,0.1875,0.457262402,0.448242188,0.166666667,0.279411765,0.25,0.375,0,0.665079365,0.564105063,0.75,0.494796107,0.330269608,0.332539683
1287,135,20160924WOSS0,20160924,SS,W,0.394736842,9,0.184210526,0.222222222,0,0,0,0.342105263,9,0.444444444,0.789473684,3,0.342105263,0.4,10,0,0.665079365,WIN,3,1909,2016,0.532894737,0.421052632,0.342105263,0.15308642,0,0,0,0.659774435,0.5625,0.735006973,0.666118421,0.5,0.764705882,0.4,0.5,0,0.665079365,0.558767869,0.666666667,0.472628475,0.541176471,0.332539683
1288,136,20160925WOSS0,20160925,SS,W,0.351351351,5,0.27027027,0.555555556,0,0,1,0.361111111,0,0.361111111,0.472222222,1,0.166666667,0.625,5,1,0.5,WIN,3,1912,2016,0.474324324,0.233918129,0.501930502,0.38271605,0,0,0.25,0.696428571,0,0.557182705,0.3984375,0.166666667,0.37254902,0.625,0.1875,0.142857143,0.5,0.602743,0.583333333,0.457233369,0.494178922,0.321428571
1289,137,20160927SSNC0,20160927,SS,W,0.294117647,3,0.205882353,0.555555556,0,1,0,0.303030303,9,0.441860465,0.424242424,1,0.151515152,0.125,12,1,1,WIN,3,1915,2016,0.397058823,0.140350877,0.382352942,0.38271605,0,0.25,0,0.584415584,0.5625,0.729493042,0.357954545,0.166666667,0.338680928,0.125,0.625,0.142857143,1,0.615556798,0.75,0.627103485,0.251336899,0.571428571
1290,138,20160929SSNC1,20160929,SS,L,0.457142857,11.25,0.257142857,0.5,0,1,2,0.277777778,2,0.315789474,0.666666667,3,0.138888889,0.125,7,0,0.665079365,LOSE,0,1915,2016,0.617142857,0.526315789,0.477551021,0.344444444,0,0.25,0.5,0.535714286,0.125,0.460471262,0.5625,0.5,0.310457517,0.125,0.3125,0,0.665079365,0.497411982,0.583333333,0.43645617,0.405739379,0.332539683
1291,139,20160929SSNC2,20160929,SS,L,0.266666667,5.625,0.366666667,0.625,0,1,0,0.25,6,0.341463415,0.472222222,1,0.083333333,0.2,11,0,0.665079365,LOSE,0,1915,2016,0.36,0.263157895,0.680952382,0.430555556,0,0.25,0,0.482142857,0.375,0.51525666,0.3984375,0.166666667,0.186274509,0.2,0.5625,0,0.665079365,0.656809733,0.75,0.517972274,0.247610294,0.332539683
1292,140,20161003LGSS0,20161003,SS,L,0.525,10,0.15,0.222222222,1,1,0,0.1875,5,0.277777778,0.3125,0,0.09375,0.25,7,0,0,LOSE,0,1915,2016,0.70875,0.467836257,0.278571429,0.15308642,0.333333333,0.25,0,0.361607143,0.3125,0.379358438,0.263671875,0,0.209558824,0.25,0.3125,0,0,0.487224688,0.638888889,0.281528394,0.286764706,0
1293,141,20161004LGSS0,20161004,SS,W,0.34375,4,0.25,0.222222222,0,1,1,0.344827586,5,0.428571429,0.551724138,1,0.137931034,0,8,0,0,WIN,3,1918,2016,0.4640625,0.187134503,0.464285715,0.15308642,0,0.25,0.25,0.66502463,0.3125,0.701135685,0.465517242,0.166666667,0.308316429,0,0.375,0,0,0.665000573,0.666666667,0.33291681,0.274995774,0
1294,142,20161005HTSS0,20161005,SS,L,0.4375,4,0.1875,0.333333333,1,1,0,0.212121212,2,0.257142857,0.272727273,0,0.060606061,0.111111111,7,2,1,LOSE,0,1918,2016,0.590625,0.187134503,0.348214286,0.229629629,0.333333333,0.25,0,0.409090908,0.125,0.335325762,0.230113637,0,0.135472372,0.111111111,0.3125,0.285714286,1,0.585206288,0.638888889,0.627452366,0.233520871,0.642857143
1295,143,20161006SSHT0,20161006,SS,W,0.28125,3,0.21875,0.333333333,0,2,1,0.297297297,6,0.380952381,0.513513514,1,0.108108108,0.222222222,11,0,0.665079365,WIN,3,1921,2016,0.3796875,0.140350877,0.40625,0.229629629,0,0.5,0.25,0.573359072,0.375,0.599521817,0.433277028,0.166666667,0.241653418,0.222222222,0.5625,0,0.665079365,0.664145498,0.75,0.519806216,0.267010577,0.332539683
1296,144,20161008SSSK0,20161008,SS,L,0.432432432,7.875,0.243243243,0.375,0,1,0,0.277777778,3,0.333333333,0.611111111,2,0.138888889,0.25,6,1,1,LOSE,0,1921,2016,0.583783783,0.368421053,0.451737452,0.258333333,0,0.25,0,0.535714286,0.1875,0.497907949,0.515625,0.333333333,0.310457517,0.25,0.25,0.142857143,1,0.560299821,0.75,0.613289241,0.410947712,0.571428571
1297,1,20160401LTWO0,20160401,WO,L,0.351351351,2,0.162162162,0.222222222,0,2,0,0.2,5,0.305555556,0.266666667,0,0.033333333,0,8,0,0,LOSE,0,1921,2016,0.474324324,0.093567251,0.301158301,0.15308642,0,0.5,0,0.385714285,0.3125,0.438633195,0.225,0,0.074509803,0,0.375,0,0,0.645045077,0.833333333,0.369594602,0.174877451,0
1298,2,20160402LTWO0,20160402,WO,W,0.323529412,3,0.264705882,0.555555556,0,0,0,0.3,5,0.382352941,0.3,0,0.166666667,0.375,6,1,0.5,WIN,3,1924,2016,0.436764706,0.140350877,0.491596638,0.38271605,0,0,0,0.578571428,0.3125,0.60251046,0.253125,0,0.37254902,0.375,0.25,0.142857143,0.5,0.632941251,0.666666667,0.485616265,0.374387255,0.321428571
1299,3,20160403LTWO0,20160403,WO,W,0.368421053,5,0.131578947,0.444444444,0,1,0,0.323529412,8,0.452380952,0.441176471,0,0.176470588,0.357142857,11,3,1,WIN,3,1927,2016,0.497368421,0.233918129,0.244360902,0.306172839,0,0.25,0,0.62394958,0.5,0.751942617,0.372242647,0,0.394463667,0.357142857,0.5625,0.428571429,1,0.551725378,0.75,0.682574202,0.297276631,0.714285714
1300,4,20160405WOHH0,20160405,WO,L,0.485714286,10.125,0.028571429,0.5,0,1,1,0.21875,8,0.358974359,0.34375,1,0.125,0.142857143,8,2,0.5,LOSE,0,1927,2016,0.655714286,0.473684211,0.053061225,0.344444444,0,0.25,0.25,0.421875,0.5,0.552623109,0.290039063,0.166666667,0.279411765,0.142857143,0.375,0.285714286,0.5,0.394804571,0.666666667,0.461796381,0.303483894,0.392857143
1301,5,20160406WOHH0,20160406,WO,W,0.457142857,4,0.142857143,0,0,1,1,0.1875,8,0.333333333,0.3125,0,0.15625,0.25,7,0,0.612424242,WIN,3,1930,2016,0.617142857,0.187134503,0.265306123,0,0,0.25,0.25,0.361607143,0.5,0.497907949,0.263671875,0,0.349264706,0.25,0.3125,0,0.612424242,0.615257191,0.666666667,0.473587025,0.321691176,0.306212121
1302,6,20160407WOHH0,20160407,WO,W,0.41025641,3,0.256410256,0,0,0,0,0.212121212,5,0.315789474,0.606060606,2,0.212121212,0.428571429,3,1,1,WIN,3,1933,2016,0.553846153,0.140350877,0.476190476,0,0,0,0,0.409090908,0.3125,0.460471262,0.511363636,0.333333333,0.474153297,0.428571429,0.0625,0.142857143,1,0.695498361,0.666666667,0.626255543,0.543389515,0.571428571
1303,7,20160408WOOB0,20160408,WO,L,0.379310345,6.75,0.24137931,1,0,0,0,0.28125,4,0.361111111,0.53125,1,0.125,0.285714286,5,2,0.5,LOSE,0,1933,2016,0.512068966,0.315789474,0.448275862,0.688888889,0,0,0,0.542410714,0.25,0.557182705,0.448242188,0.166666667,0.279411765,0.285714286,0.1875,0.285714286,0.5,0.482882133,0.666666667,0.483815771,0.386073179,0.392857143
1304,8,20160409WOOB0,20160409,WO,D,0.347826087,6.75,0.239130435,0.25,0,2,1,0.326530612,7,0.4,0.428571429,0,0.163265306,0.333333333,12,2,0.666666667,WIN,1,1934,2016,0.469565217,0.315789474,0.44409938,0.172222222,0,0.5,0.25,0.629737608,0.4375,0.640167364,0.361607143,0,0.364945978,0.333333333,0.625,0.285714286,0.666666667,0.621630617,0.75,0.581002892,0.268319828,0.476190476
1305,9,20160410WOOB0,20160410,WO,W,0.342857143,4,0.114285714,0.333333333,0,0,0,0.25,7,0.35,0.46875,0,0.15625,0.4,9,0,0.612424242,WIN,3,1937,2016,0.462857143,0.187134503,0.212244898,0.229629629,0,0,0,0.482142857,0.4375,0.533472803,0.395507813,0,0.349264706,0.4,0.4375,0,0.612424242,0.583155906,0.666666667,0.465561704,0.327941176,0.306212121
1306,10,20160412KTWO0,20160412,WO,W,0.272727273,2,0.181818182,0.111111111,0,0,0,0.333333333,2,0.371428571,0.636363636,1,0.121212121,0.428571429,6,0,0.612424242,WIN,3,1940,2016,0.368181818,0.093567251,0.337662338,0.07654321,0,0,0,0.642857142,0.125,0.579199043,0.536931818,0.166666667,0.270944741,0.428571429,0.25,0,0.612424242,0.699842515,0.666666667,0.494733356,0.404045709,0.306212121
1307,11,20160413KTWO0,20160413,WO,L,0.380952381,5.727272727,0.261904762,0.454545455,0,0,0,0.288888889,5,0.346938776,0.533333333,1,0.133333333,0.357142857,11,4,0.8,LOSE,0,1940,2016,0.514285714,0.267942584,0.486394558,0.313131313,0,0,0,0.557142857,0.3125,0.526940484,0.45,0.166666667,0.298039215,0.357142857,0.5625,0.571428571,0.8,0.597758737,0.666666667,0.658963494,0.314837185,0.685714286
1308,12,20160414KTWO0,20160414,WO,L,0.388888889,5,0.194444444,0.333333333,0,0,0,0.233333333,5,0.28125,0.6,2,0.1,0.333333333,4,1,1,LOSE,0,1940,2016,0.525,0.233918129,0.361111111,0.229629629,0,0,0,0.449999999,0.3125,0.386767782,0.50625,0.333333333,0.223529412,0.333333333,0.125,0.142857143,1,0.593140838,0.666666667,0.600666162,0.44129902,0.571428571
1309,13,20160415WOHT0,20160415,WO,L,0.5,12.375,0.111111111,0.875,1,2,0,0.294117647,6,0.375,0.352941176,0,0.147058824,0.444444444,8,1,0.333333333,LOSE,0,1940,2016,0.675,0.578947368,0.206349206,0.602777778,0.333333333,0.5,0,0.56722689,0.375,0.586820084,0.297794117,0,0.328719724,0.444444444,0.375,0.142857143,0.333333333,0.337406015,0.722222222,0.383954678,0.349541042,0.238095238
1310,14,20160417WOHT0,20160417,WO,W,0.382352941,1,0.147058824,0,0,0,0,0.28125,1,0.28125,0.375,0,0.0625,0.25,4,0,0,WIN,3,1943,2016,0.51617647,0.046783626,0.273109245,0,0,0,0,0.542410714,0.0625,0.386767782,0.31640625,0,0.139705882,0.25,0.125,0,0,0.677537287,0.666666667,0.336050988,0.316176471,0
1311,15,20160419WOSK0,20160419,WO,W,0.264705882,1,0.264705882,0.222222222,0,0,0,0.294117647,4,0.368421053,0.647058824,1,0.088235294,0,8,0,0,WIN,3,1946,2016,0.357352941,0.046783626,0.491596638,0.15308642,0,0,0,0.56722689,0.25,0.572781326,0.545955883,0.166666667,0.197231834,0,0.375,0,0,0.733593413,0.666666667,0.35006502,0.247224625,0
1312,16,20160420WOSK0,20160420,WO,L,0.527777778,10.125,0.055555556,0.25,0,1,0,0.242424242,2,0.285714286,0.363636364,1,0.03030303,0,7,0,0.612424242,LOSE,0,1946,2016,0.7125,0.473684211,0.103174604,0.172222222,0,0.25,0,0.467532466,0.125,0.396294083,0.306818182,0.166666667,0.067736185,0,0.3125,0,0.612424242,0.436192043,0.75,0.449654071,0.230475713,0.306212121
1313,17,20160421WOSK0,20160421,WO,L,0.259259259,3.375,0.185185185,0.375,0,0,0,0.181818182,4,0.25,0.424242424,1,0.060606061,0.166666667,8,1,0.5,LOSE,0,1946,2016,0.35,0.157894737,0.343915344,0.258333333,0,0,0,0.350649351,0.25,0.320083682,0.357954545,0.166666667,0.135472372,0.166666667,0.375,0.142857143,0.5,0.644421819,0.666666667,0.488486407,0.273451426,0.321428571
1314,18,20160422LGWO0,20160422,WO,W,0.193548387,2,0.193548387,0.111111111,0,1,0,0.4,5,0.45,0.914285714,2,0.257142857,0.307692308,8,0,0.612424242,WIN,3,1949,2016,0.261290322,0.093567251,0.359447005,0.07654321,0,0.25,0,0.771428571,0.3125,0.746861925,0.771428571,0.333333333,0.574789916,0.307692308,0.375,0,0.612424242,0.732011555,0.75,0.523608949,0.460203889,0.306212121
1315,19,20160423LGWO0,20160423,WO,W,0.305555556,2,0.222222222,0.222222222,0,0,0,0.45,7,0.510204082,0.8,2,0.35,0.4375,11,0,0.612424242,WIN,3,1952,2016,0.4125,0.093567251,0.412698413,0.15308642,0,0,0,0.867857142,0.4375,0.875330886,0.675,0.333333333,0.782352941,0.4375,0.5625,0,0.612424242,0.688386185,0.666666667,0.491869273,0.497671569,0.306212121
1316,20,20160424LGWO0,20160424,WO,L,0.352941176,5,0.235294118,0.111111111,0,0,0,0.305555556,2,0.342105263,0.472222222,0,0.083333333,0.214285714,9,2,1,LOSE,0,1952,2016,0.476470587,0.233918129,0.436974791,0.07654321,0,0,0,0.589285715,0.125,0.516626293,0.3984375,0,0.186274509,0.214285714,0.4375,0.285714286,1,0.662510716,0.666666667,0.653722917,0.240765056,0.642857143
1317,21,20160426WONC0,20160426,WO,L,0.46875,4.5,0.09375,0.375,0,1,0,0.264705882,5,0.324324324,0.323529412,0,0.088235294,0.333333333,9,0,0.612424242,LOSE,0,1952,2016,0.6328125,0.210526316,0.174107143,0.258333333,0,0.25,0,0.510504201,0.3125,0.478683704,0.272977941,0,0.197231834,0.333333333,0.4375,0,0.612424242,0.518108749,0.75,0.470133248,0.273266292,0.306212121
1318,22,20160428WONC0,20160428,WO,W,0.235294118,2,0.323529412,0.111111111,1,0,0,0.243243243,1,0.263157895,0.594594595,1,0.108108108,0.090909091,7,1,1,WIN,3,1955,2016,0.317647059,0.093567251,0.600840337,0.07654321,0.333333333,0,0,0.469111968,0.0625,0.348161199,0.50168919,0.166666667,0.241653418,0.090909091,0.3125,0.142857143,1,0.778270704,0.555555556,0.619170851,0.296682294,0.571428571
1319,23,20160429SKWO0,20160429,WO,L,0.363636364,4,0.151515152,0.111111111,0,0,0,0.205882353,2,0.25,0.323529412,0,0.058823529,0.181818182,6,1,1,LOSE,0,1955,2016,0.490909091,0.187134503,0.281385283,0.07654321,0,0,0,0.397058823,0.125,0.320083682,0.272977941,0,0.131487888,0.181818182,0.25,0.142857143,1,0.63169962,0.666666667,0.610305857,0.265826518,0.571428571
1320,24,20160430SKWO0,20160430,WO,L,0.435897436,5,0.179487179,0.222222222,0,0,0,0.166666667,4,0.264705882,0.166666667,0,0.033333333,0,6,1,1,LOSE,0,1955,2016,0.588461538,0.233918129,0.333333333,0.15308642,0,0,0,0.321428572,0.25,0.351464434,0.140625,0,0.074509803,0,0.25,0.142857143,1,0.589466812,0.666666667,0.599747655,0.206127451,0.571428571
1321,25,20160501SKWO0,20160501,WO,W,0.233333333,1,0.133333333,0.111111111,0,1,0,0.358974359,4,0.418604651,0.641025641,1,0.282051282,0.333333333,8,1,1,WIN,3,1958,2016,0.314999999,0.046783626,0.247619047,0.07654321,0,0.25,0,0.692307692,0.25,0.679867665,0.540865385,0.166666667,0.630467572,0.333333333,0.375,0.142857143,1,0.702323053,0.75,0.648795049,0.438866893,0.571428571
1322,26,20160503WOSS0,20160503,WO,W,0.275862069,0,0.103448276,0.222222222,0,3,0,0.305555556,5,0.390243902,0.472222222,1,0.111111111,0.2,11,0,0,WIN,3,1961,2016,0.372413793,0,0.192118227,0.15308642,0,0.75,0,0.589285715,0.3125,0.619348912,0.3984375,0.166666667,0.248366013,0.2,0.5625,0,0,0.666654504,0.916666667,0.395830293,0.26313317,0
1323,27,20160504WOSS0,20160504,WO,W,0.352941176,3,0.147058824,0.222222222,0,2,1,0.277777778,0,0.27027027,0.472222222,1,0.166666667,0.5,4,1,0.5,WIN,3,1964,2016,0.476470587,0.140350877,0.273109245,0.15308642,0,0.5,0.25,0.535714286,0,0.363338233,0.3984375,0.166666667,0.37254902,0.5,0.125,0.142857143,0.5,0.62580034,0.75,0.504664371,0.478553922,0.321428571
1324,28,20160505WOSS0,20160505,WO,L,0.387096774,5.625,0.193548387,0,0,0,0,0.133333333,3,0.212121212,0.333333333,1,0.066666667,0,4,0,0.612424242,LOSE,0,1964,2016,0.522580645,0.263157895,0.359447005,0,0,0,0,0.257142856,0.1875,0.239254469,0.28125,0.166666667,0.149019609,0,0.125,0,0.612424242,0.643427116,0.666666667,0.480629506,0.297671569,0.306212121
1325,29,20160506HTWO0,20160506,WO,W,0.628571429,6,0.142857143,0.222222222,0,1,0,0.454545455,6,0.52,0.840909091,3,0.340909091,0.5625,11,3,1,WIN,3,1967,2016,0.848571429,0.280701754,0.265306123,0.15308642,0,0.25,0,0.876623377,0.375,0.89623431,0.709517046,0.5,0.762032086,0.5625,0.5625,0.428571429,1,0.49573663,0.75,0.668577015,0.565508021,0.714285714
1326,30,20160507HTWO0,20160507,WO,W,0.258064516,3,0.161290323,0.222222222,0,0,1,0.242424242,1,0.264705882,0.393939394,0,0.090909091,0.272727273,6,3,1,WIN,3,1970,2016,0.348387096,0.140350877,0.299539172,0.15308642,0,0,0.25,0.467532466,0.0625,0.351464434,0.332386364,0,0.203208556,0.272727273,0.25,0.428571429,1,0.664428695,0.583333333,0.669083364,0.306483957,0.714285714
1327,31,20160508HTWO0,20160508,WO,W,0.378378378,6,0.243243243,0.111111111,0,0,0,0.285714286,7,0.390243902,0.714285714,2,0.171428571,0.333333333,8,0,0,WIN,3,1973,2016,0.51081081,0.280701754,0.451737452,0.07654321,0,0,0,0.551020408,0.4375,0.619348912,0.602678571,0.333333333,0.383193276,0.333333333,0.375,0,0,0.645920419,0.666666667,0.328146772,0.418714986,0
1328,32,20160511WOLT0,20160511,WO,W,0.323529412,2,0.264705882,0.111111111,0,2,0,0.395348837,5,0.458333333,0.976744186,4,0.372093023,0.6,5,0,0.612424242,WIN,3,1976,2016,0.436764706,0.093567251,0.491596638,0.07654321,0,0.5,0,0.762458471,0.3125,0.764644351,0.824127907,0.666666667,0.831737346,0.6,0.1875,0,0.612424242,0.721180368,0.833333333,0.541734486,0.727726003,0.306212121
1329,33,20160512WOLT0,20160512,WO,L,0.433333333,9,0.133333333,0.75,0,0,1,0.1,1,0.129032258,0.233333333,0,0,0,3,0,0.612424242,LOSE,0,1976,2016,0.584999999,0.421052632,0.247619047,0.516666667,0,0,0.25,0.192857143,0.0625,0.06195168,0.196875,0,0,0,0.0625,0,0.612424242,0.431224937,0.583333333,0.406745628,0.234375,0.306212121
1330,34,20160513OBWO0,20160513,WO,L,0.512820513,8,0.205128205,0.444444444,1,0,0,0.294117647,4,0.35,0.470588235,0,0.088235294,0.307692308,9,1,1,LOSE,0,1976,2016,0.692307692,0.374269006,0.380952381,0.306172839,0.333333333,0,0,0.56722689,0.25,0.533472803,0.397058823,0,0.197231834,0.307692308,0.4375,0.142857143,1,0.502050711,0.555555556,0.550115852,0.266856035,0.571428571
1331,35,20160514OBWO0,20160514,WO,L,0.547619048,12,0.142857143,0.333333333,0,1,0,0.15625,6,0.289473684,0.34375,1,0.0625,0,9,0,0.612424242,LOSE,0,1976,2016,0.739285715,0.561403509,0.265306123,0.229629629,0,0.25,0,0.301339285,0.375,0.404316229,0.290039063,0.166666667,0.139705882,0,0.4375,0,0.612424242,0.433746818,0.75,0.449042765,0.217218137,0.306212121
1332,36,20160515OBWO0,20160515,WO,L,0.351351351,5,0.081081081,0.444444444,0,2,1,0.242424242,1,0.264705882,0.424242424,1,0.090909091,0.5,4,0,0.612424242,LOSE,0,1976,2016,0.474324324,0.233918129,0.150579151,0.306172839,0,0.5,0.25,0.467532466,0.0625,0.351464434,0.357954545,0.166666667,0.203208556,0.5,0.125,0,0.612424242,0.534040965,0.75,0.474116302,0.436218806,0.306212121
1333,37,20160517NCWO0,20160517,WO,W,0.361111111,3,0.111111111,0.111111111,0,0,0,0.303030303,2,0.342857143,0.545454545,1,0.151515152,0.3,6,1,1,WIN,3,1979,2016,0.4875,0.140350877,0.206349206,0.07654321,0,0,0,0.584415584,0.125,0.518230724,0.460227272,0.166666667,0.338680928,0.3,0.25,0.142857143,1,0.62548878,0.666666667,0.608753147,0.388836899,0.571428571
1334,38,20160518NCWO0,20160518,WO,W,0.472222222,6,0.138888889,0.555555556,0,2,0,0.432432432,4,0.475,0.540540541,1,0.243243243,0.454545455,8,0,0,WIN,3,1982,2016,0.637499999,0.280701754,0.257936508,0.38271605,0,0.5,0,0.833976832,0.25,0.800209205,0.456081082,0.166666667,0.54372019,0.454545455,0.375,0,0,0.489254676,0.833333333,0.330647002,0.447483078,0
1335,39,20160519NCWO0,20160519,WO,L,0.378378378,6,0.189189189,0.111111111,0,0,0,0.258064516,3,0.28125,0.419354839,0,0.032258065,0.25,5,1,0.5,LOSE,0,1982,2016,0.51081081,0.280701754,0.351351351,0.07654321,0,0,0,0.497695852,0.1875,0.386767782,0.353830645,0,0.072106263,0.25,0.1875,0.142857143,0.5,0.620823894,0.666666667,0.482586926,0.283651566,0.321428571
1336,40,20160520WOLG0,20160520,WO,L,0.413793103,4.5,0.103448276,0.125,0,1,0,0.142857143,5,0.264705882,0.214285714,0,0.107142857,0.5,5,1,1,LOSE,0,1982,2016,0.558620689,0.210526316,0.192118227,0.086111111,0,0.25,0,0.275510204,0.3125,0.351464434,0.180803571,0,0.239495798,0.5,0.1875,0.142857143,1,0.584215028,0.75,0.619268043,0.38799895,0.571428571
1337,41,20160521WOLG0,20160521,WO,W,0.388888889,5,0.111111111,0.777777778,0,0,0,0.351351351,6,0.441860465,0.810810811,2,0.162162162,0.3,11,2,0.666666667,WIN,3,1985,2016,0.525,0.233918129,0.206349206,0.535802469,0,0,0,0.677606176,0.375,0.729493042,0.684121622,0.333333333,0.362480127,0.3,0.5625,0.285714286,0.666666667,0.477907152,0.666666667,0.524238693,0.358328365,0.476190476
1338,42,20160522WOLG0,20160522,WO,L,0.310344828,5.625,0.310344828,0.125,0,0,0,0.285714286,1,0.297297297,0.514285714,1,0.114285714,0.333333333,6,0,0,LOSE,0,1985,2016,0.418965518,0.263157895,0.576354681,0.086111111,0,0,0,0.551020408,0.0625,0.421010968,0.433928571,0.166666667,0.255462184,0.333333333,0.25,0,0,0.702030039,0.666666667,0.342174177,0.376365546,0
1339,43,20160524HHWO0,20160524,WO,W,0.1875,1,0.25,0.444444444,0,0,1,0.16,4,0.275862069,0.24,0,0.04,0.166666667,4,2,0.666666667,WIN,3,1988,2016,0.253125,0.046783626,0.464285715,0.306172839,0,0,0.25,0.308571428,0.25,0.375270524,0.2025,0,0.089411765,0.166666667,0.125,0.285714286,0.666666667,0.714551062,0.583333333,0.562566337,0.282769608,0.476190476
1340,44,20160525HHWO0,20160525,WO,W,0.513513514,8,0.135135135,0.333333333,0,1,1,0.394736842,7,0.466666667,0.552631579,1,0.210526316,0.384615385,11,0,0,WIN,3,1991,2016,0.693243244,0.374269006,0.250965251,0.229629629,0,0.25,0.25,0.761278195,0.4375,0.782426779,0.466282895,0.166666667,0.470588236,0.384615385,0.5625,0,0,0.488455843,0.666666667,0.288780627,0.364842572,0
1341,45,20160526HHWO0,20160526,WO,L,0.394736842,7,0.131578947,0.555555556,0,1,1,0.225806452,6,0.351351351,0.451612903,0,0.193548387,0.4,5,1,0.5,LOSE,0,1991,2016,0.532894737,0.32748538,0.244360902,0.38271605,0,0.25,0.25,0.435483871,0.375,0.536356439,0.381048387,0,0.432637571,0.4,0.1875,0.142857143,0.5,0.500316184,0.666666667,0.452459998,0.411284393,0.321428571
1342,46,20160527WOKT0,20160527,WO,L,0.371428571,9,0.114285714,0.5,0,0,0,0.133333333,0,0.133333333,0.133333333,0,0,0,3,0,0.612424242,LOSE,0,1991,2016,0.501428571,0.421052632,0.212244898,0.344444444,0,0,0,0.257142856,0,0.071129706,0.1125,0,0,0,0.0625,0,0.612424242,0.486329813,0.666666667,0.44135518,0.234375,0.306212121
1343,47,20160528WOKT0,20160528,WO,W,0.272727273,1,0.060606061,0.111111111,0,1,1,0.314285714,4,0.384615385,0.4,0,0.085714286,0.214285714,10,2,1,WIN,3,1994,2016,0.368181818,0.046783626,0.112554113,0.07654321,0,0.25,0.25,0.606122448,0.25,0.607338269,0.3375,0,0.191596639,0.214285714,0.5,0.285714286,1,0.655261365,0.666666667,0.651910579,0.226470588,0.642857143
1344,48,20160529WOKT0,20160529,WO,W,0.333333333,2,0.090909091,0.666666667,0,1,1,0.242424242,2,0.285714286,0.545454545,2,0.151515152,0.272727273,4,2,1,WIN,3,1997,2016,0.449999999,0.093567251,0.168831169,0.45925926,0,0.25,0.25,0.467532466,0.125,0.396294083,0.460227272,0.333333333,0.338680928,0.272727273,0.125,0.285714286,1,0.541501165,0.666666667,0.623470529,0.454935384,0.642857143
1345,49,20160531SSWO0,20160531,WO,L,0.310344828,4,0.068965517,1,0,1,0,0.257142857,4,0.333333333,0.485714286,0,0.028571429,0.166666667,11,0,0,LOSE,0,1997,2016,0.418965518,0.187134503,0.128078817,0.688888889,0,0.25,0,0.495918367,0.25,0.497907949,0.409821429,0,0.063865547,0.166666667,0.5625,0,0,0.458272477,0.75,0.302068119,0.167008054,0
1346,50,20160601SSWO0,20160601,WO,W,0.387096774,4,0.161290323,0.111111111,0,1,0,0.34375,5,0.421052632,0.71875,1,0.1875,0.25,9,0,0.612424242,WIN,3,2000,2016,0.522580645,0.187134503,0.299539172,0.07654321,0,0.25,0,0.662946428,0.3125,0.68509139,0.606445313,0.166666667,0.419117647,0.25,0.4375,0,0.612424242,0.628320204,0.75,0.497686111,0.349571078,0.306212121
1347,51,20160602SSWO0,20160602,WO,L,0.590909091,14,0.113636364,0.444444444,0,1,0,0.307692308,5,0.386363636,0.769230769,4,0.153846154,0.181818182,11,0,0.612424242,LOSE,0,2000,2016,0.797727273,0.65497076,0.211038962,0.306172839,0,0.25,0,0.593406593,0.3125,0.611068847,0.649038461,0.666666667,0.343891403,0.181818182,0.5625,0,0.612424242,0.363042022,0.75,0.431366566,0.407469063,0.306212121
1348,52,20160603WOHT0,20160603,WO,W,0.21875,1,0.21875,0.333333333,0,0,0,0.368421053,4,0.428571429,0.631578947,1,0.236842105,0.428571429,6,4,1,WIN,3,2003,2016,0.2953125,0.046783626,0.40625,0.229629629,0,0,0,0.710526316,0.25,0.701135685,0.532894737,0.166666667,0.529411764,0.428571429,0.25,0.571428571,1,0.708631061,0.666666667,0.736681575,0.468662465,0.785714286
1349,53,20160605WOHT0,20160605,WO,W,0.40625,3,0.21875,0.111111111,0,1,0,0.228571429,2,0.27027027,0.457142857,1,0.085714286,0.375,6,1,1,WIN,3,2006,2016,0.5484375,0.140350877,0.40625,0.07654321,0,0.25,0,0.440816327,0.125,0.363338233,0.385714286,0.166666667,0.191596639,0.375,0.25,0.142857143,1,0.660229603,0.75,0.638271687,0.370815826,0.571428571
1350,54,20160607WONC0,20160607,WO,L,0.379310345,5.625,0.137931034,0.625,0,0,0,0.15625,1,0.181818182,0.28125,1,0.03125,0,5,1,1,LOSE,0,2006,2016,0.512068966,0.263157895,0.256157635,0.430555556,0,0,0,0.301339285,0.0625,0.1745911,0.237304688,0.166666667,0.069852941,0,0.1875,0.142857143,1,0.512593805,0.666666667,0.580529404,0.262254902,0.571428571
